pathway,n_genes_pathway,n_genes_found,mean_rank,median_rank,pvalue,u_statistic,fdr_q
"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",180,15,1502.9333333333334,1350.0,0.054791862300790084,22424.0,0.7134549441401103
Regulation Of Stem Cell Differentiation (GO:2000736),45,8,1327.5,765.5,0.054922022821678754,10584.0,0.7134549441401103
Negative Regulation Of T Cell Proliferation (GO:0042130),36,3,908.6666666666666,634.0,0.054922508603064905,2720.0,0.7134549441401103
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),18,5,1156.0,167.0,0.05523536261784464,5765.0,0.7134549441401103
Actin Filament Bundle Organization (GO:0061572),33,5,1157.8,1070.0,0.055651947466311004,5774.0,0.7134549441401103
Myotube Differentiation (GO:0014902),25,2,658.5,658.5,0.055682419714192966,1314.0,0.7134549441401103
Glycerophospholipid Metabolic Process (GO:0006650),62,5,1161.6,1017.0,0.056538964240154456,5793.0,0.7134549441401103
Morphogenesis Of An Epithelium (GO:0002009),29,2,665.0,665.0,0.05678792982557221,1327.0,0.7134549441401103
JNK Cascade (GO:0007254),29,3,920.3333333333334,399.0,0.05706728313924376,2755.0,0.7134549441401103
Regulation Of Opsonization (GO:1903027),10,2,667.0,667.0,0.05713028300338649,1331.0,0.7134549441401103
Apoptotic Cell Clearance (GO:0043277),28,2,667.0,667.0,0.05713028300338649,1331.0,0.7134549441401103
Positive Regulation Of Phagocytosis (GO:0050766),60,2,667.0,667.0,0.05713028300338649,1331.0,0.7134549441401103
Innate Immune Response In Mucosa (GO:0002227),21,2,668.0,668.0,0.05730184541480807,1333.0,0.7134549441401103
Antibacterial Humoral Response (GO:0019731),49,2,668.0,668.0,0.05730184541480807,1333.0,0.7134549441401103
Cellular Response To Cadmium Ion (GO:0071276),22,3,925.6666666666666,688.0,0.05806606849871543,2771.0,0.7200192493840714
Striated Muscle Cell Differentiation (GO:0051146),20,4,1074.5,1036.0,0.058596264163384974,4288.0,0.7236400427982258
DNA Unwinding Involved In DNA Replication (GO:0006268),20,3,931.3333333333334,601.0,0.059139974637096665,2788.0,0.725220292804449
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),174,13,1480.1538461538462,1172.0,0.05921058084897217,19151.0,0.725220292804449
Phospholipid Catabolic Process (GO:0009395),28,3,934.6666666666666,1113.0,0.05977782636205211,2798.0,0.725220292804449
Negative Regulation Of Response To Biotic Stimulus (GO:0002832),45,3,936.0,688.0,0.0600342457473215,2802.0,0.725220292804449
Macromolecule Biosynthetic Process (GO:0009059),183,10,1413.6,1102.0,0.06009469111995065,14081.0,0.725220292804449
Regulation Of Cellular Component Organization (GO:0051128),153,16,1531.8125,1283.5,0.060438215587637026,24373.0,0.725220292804449
Regulation Of Stem Cell Proliferation (GO:0072091),16,2,686.5,686.5,0.060522177335345095,1370.0,0.725220292804449
Cellular Response To Organonitrogen Compound (GO:0071417),105,14,1501.857142857143,1308.5,0.060672873526925686,20921.0,0.725220292804449
Membrane Protein Ectodomain Proteolysis (GO:0006509),22,3,940.3333333333334,745.0,0.06087267105501465,2815.0,0.725220292804449
Regulation Of Calcium Ion Transport (GO:0051924),57,9,1387.3333333333333,1345.0,0.06137728046822899,12441.0,0.7272786608912845
Protein Acetylation (GO:0006473),29,2,693.5,693.5,0.0617636255793125,1384.0,0.7272786608912845
Positive Regulation Of Leukocyte Proliferation (GO:0070665),17,2,693.5,693.5,0.0617636255793125,1384.0,0.7272786608912845
Cellular Response To Starvation (GO:0009267),126,8,1352.75,782.5,0.062478539782801254,10786.0,0.7321861201786093
Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),82,10,1421.6,1143.0,0.06279406926328666,14161.0,0.7321861201786093
Mismatch Repair (GO:0006298),25,3,950.6666666666666,912.0,0.06290341585471265,2846.0,0.7321861201786093
Negative Regulation Of Axon Extension (GO:0030517),30,2,703.0,703.0,0.06346857527062877,1403.0,0.7359447773746954
Amino Acid Transport (GO:0006865),46,2,704.5,704.5,0.06373993710578585,1406.0,0.736281098583184
Protein Processing (GO:0016485),117,12,1473.8333333333333,1003.5,0.06435164199208246,17608.0,0.7385773868336468
Negative Regulation Of Phosphorylation (GO:0042326),75,3,960.0,813.0,0.06477601795652979,2874.0,0.7385773868336468
Regulation Of Neurotransmitter Secretion (GO:0046928),38,6,1264.1666666666667,887.0,0.0648687103155464,7564.0,0.7385773868336468
Regulation Of G0 To G1 Transition (GO:0070316),33,3,960.6666666666666,978.0,0.06491117915884914,2876.0,0.7385773868336468
Protein Kinase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007205),10,2,715.5,715.5,0.06574737164842413,1428.0,0.7452524575800832
Monocarboxylic Acid Biosynthetic Process (GO:0072330),65,6,1268.1666666666667,1032.0,0.0660035976237075,7588.0,0.7452524575800832
Tyrosine Metabolic Process (GO:0006570),11,3,968.3333333333334,1093.0,0.06647907044246298,2899.0,0.7452524575800832
Aromatic Amino Acid Family Catabolic Process (GO:0009074),10,3,968.3333333333334,1093.0,0.06647907044246298,2899.0,0.7452524575800832
ncRNA Catabolic Process (GO:0034661),33,5,1202.6,1350.0,0.06677700894630934,5998.0,0.7455308045746549
Positive Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070304),18,3,971.0,122.0,0.06703028485071481,2907.0,0.7455308045746549
Lytic Vacuole Organization (GO:0080171),36,5,1204.6,914.0,0.06730837124277117,6008.0,0.7455308045746549
Regulation Of AMPA Receptor Activity (GO:2000311),24,2,726.0,726.0,0.06769256015873254,1449.0,0.7455308045746549
Regulation Of Actin Filament-Based Process (GO:0032970),70,9,1406.4444444444443,1178.0,0.0677309091713643,12613.0,0.7455308045746549
Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662),37,3,977.3333333333334,694.0,0.06835161235126991,2926.0,0.749646925354361
Aerobic Respiration (GO:0009060),59,3,981.6666666666666,589.0,0.06926561150038389,2939.0,0.7557966381467891
"mRNA Splicing, Via Spliceosome (GO:0000398)",211,17,1565.0588235294117,1350.0,0.0696491245902839,26453.0,0.7557966381467891
Negative Regulation Of Type I Interferon Production (GO:0032480),38,1,276.0,276.0,0.06997971602434093,275.0,0.7557966381467891
Positive Regulation Of RNA Splicing (GO:0033120),36,5,1216.0,1106.0,0.07039524770939257,6065.0,0.7557966381467891
Positive Regulation Of Cell Motility (GO:2000147),221,21,1607.857142857143,1790.0,0.07060237798823939,33534.0,0.7557966381467891
Male Meiosis I (GO:0007141),16,3,989.3333333333334,1111.0,0.0709025812613018,2962.0,0.7557966381467891
Meiosis I (GO:0007127),26,3,989.3333333333334,1111.0,0.0709025812613018,2962.0,0.7557966381467891
Regulation Of Protein Kinase C Signaling (GO:0090036),16,3,989.3333333333334,1012.0,0.0709025812613018,2962.0,0.7557966381467891
Peptide Biosynthetic Process (GO:0043043),158,6,1286.8333333333333,1014.5,0.07149249717860046,7700.0,0.7578426659440868
Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661),47,6,1287.1666666666667,1038.5,0.07159343157536303,7702.0,0.7578426659440868
Negative Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033147),10,3,995.3333333333334,753.0,0.07220152821764972,2980.0,0.7616258427959022
Positive Regulation Of Synaptic Transmission (GO:0050806),77,7,1344.0,1034.0,0.07329481821058702,9380.0,0.7681879648411135
Endochondral Bone Morphogenesis (GO:0060350),12,2,758.0,758.0,0.07379575790717521,1513.0,0.7681879648411135
Positive Regulation Of Immune Effector Process (GO:0002699),37,3,1005.0,668.0,0.07432748426558043,3009.0,0.7681879648411135
Regulation Of Primary Metabolic Process (GO:0080090),43,3,1007.3333333333334,810.0,0.07484682280460261,3016.0,0.7681879648411135
mRNA Catabolic Process (GO:0006402),43,7,1349.857142857143,1316.0,0.07525569137554224,9421.0,0.7681879648411135
Negative Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903038),19,3,1009.6666666666666,688.0,0.07536857483864855,3023.0,0.7681879648411135
Regulation Of T-helper 2 Cell Cytokine Production (GO:2000551),10,2,767.0,767.0,0.07555973844320102,1531.0,0.7681879648411135
Regulation Of Vesicle-Mediated Transport (GO:0060627),89,11,1481.7272727272727,1622.0,0.07616692843603666,16233.0,0.7681879648411135
Phosphorylation (GO:0016310),429,35,1698.3714285714286,1553.0,0.07628106108642375,58813.0,0.7681879648411135
Dicarboxylic Acid Catabolic Process (GO:0043649),16,2,773.0,773.0,0.07674730014265146,1543.0,0.7681879648411135
Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903321),54,5,1238.4,688.0,0.0767529165579815,6177.0,0.7681879648411135
Positive Regulation Of MAPK Cascade (GO:0043410),310,20,1610.2,1551.5,0.07686951516327556,31994.0,0.7681879648411135
Regulation Of Rho Protein Signal Transduction (GO:0035023),73,4,1156.25,1431.5,0.07846057329272321,4615.0,0.7681879648411135
Nuclear Membrane Reassembly (GO:0031468),23,3,1024.6666666666667,1031.0,0.07878069950303869,3068.0,0.7681879648411135
Regulation Of Transposition (GO:0010528),14,2,784.0,784.0,0.0789485461950441,1565.0,0.7681879648411135
Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),130,10,1465.1,1568.0,0.07915555543516756,14596.0,0.7681879648411135
rRNA Catabolic Process (GO:0016075),19,1,315.0,315.0,0.07986815415821497,314.0,0.7681879648411135
"Positive Regulation Of DNA-templated Transcription, Elongation (GO:0032786)",56,7,1365.7142857142858,774.0,0.08075538218526834,9532.0,0.7681879648411135
Regulation Of B Cell Proliferation (GO:0030888),44,3,1036.0,694.0,0.08142595826780982,3102.0,0.7681879648411135
Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236),60,5,1254.2,1528.0,0.08147475307674865,6256.0,0.7681879648411135
Protein Insertion Into Mitochondrial Membrane (GO:0051204),28,5,1254.6,857.0,0.08159687764878214,6258.0,0.7681879648411135
Negative Regulation Of Protein Localization (GO:1903828),40,3,1038.6666666666667,919.0,0.08205685892351727,3110.0,0.7681879648411135
Base-Excision Repair (GO:0006284),36,2,800.0,800.0,0.08220591707696748,1597.0,0.7681879648411135
Mitotic Nuclear Division (GO:0140014),45,5,1258.2,1362.0,0.08270178070600168,6276.0,0.7681879648411135
Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),65,3,1048.6666666666667,1283.0,0.08445175430709848,3140.0,0.7681879648411135
Antimicrobial Humoral Response (GO:0019730),100,3,1048.6666666666667,1283.0,0.08445175430709848,3140.0,0.7681879648411135
Actin Filament Bundle Assembly (GO:0051017),33,4,1179.75,1195.5,0.08495588521603643,4709.0,0.7681879648411135
Positive Regulation Of Protein Transport (GO:0051222),70,4,1180.5,824.5,0.08516912650557795,4712.0,0.7681879648411135
Cardiac Muscle Cell Differentiation (GO:0055007),27,5,1266.6,1378.0,0.0853205260579841,6318.0,0.7681879648411135
Neural Crest Cell Migration (GO:0001755),36,3,1052.6666666666667,872.0,0.08542260991406736,3152.0,0.7681879648411135
Mesenchymal Cell Migration (GO:0090497),32,3,1052.6666666666667,872.0,0.08542260991406736,3152.0,0.7681879648411135
Neural Crest Cell Development (GO:0014032),44,3,1052.6666666666667,872.0,0.08542260991406736,3152.0,0.7681879648411135
Membrane Protein Intracellular Domain Proteolysis (GO:0031293),13,3,1053.0,745.0,0.08550384874968804,3153.0,0.7681879648411135
Regulation Of Macrophage Chemotaxis (GO:0010758),20,5,1268.8,1686.0,0.08601583250741494,6329.0,0.7681879648411135
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),456,46,1744.608695652174,1640.5,0.08607738114393226,79171.0,0.7681879648411135
Regulation Of Synaptic Vesicle Exocytosis (GO:2000300),18,3,1059.3333333333333,1034.0,0.0870571882017945,3172.0,0.7681879648411135
Response To Interferon-Alpha (GO:0035455),17,2,825.5,825.5,0.08753348296387828,1648.0,0.7681879648411135
Bone Development (GO:0060348),44,3,1061.6666666666667,623.0,0.08763417901877942,3179.0,0.7681879648411135
RNA Splicing (GO:0008380),98,8,1423.25,1295.5,0.08766908903889746,11350.0,0.7681879648411135
Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874),105,9,1458.888888888889,1788.0,0.08777631195826219,13085.0,0.7681879648411135
DNA Synthesis Involved In DNA Repair (GO:0000731),27,3,1062.3333333333333,620.0,0.08779950054059905,3181.0,0.7681879648411135
Regulation Of Interleukin-1 Beta Production (GO:0032651),84,7,1385.0,1136.0,0.08782724113718937,9667.0,0.7681879648411135
Nitric Oxide Metabolic Process (GO:0046209),16,2,827.5,827.5,0.08795840215978298,1652.0,0.7681879648411135
Nitric Oxide Biosynthetic Process (GO:0006809),15,2,827.5,827.5,0.08795840215978298,1652.0,0.7681879648411135
Interleukin-1-Mediated Signaling Pathway (GO:0070498),19,2,827.5,827.5,0.08795840215978298,1652.0,0.7681879648411135
Negative Regulation Of Reproductive Process (GO:2000242),20,1,349.0,349.0,0.0884888438133872,348.0,0.7681879648411135
Pathway-Restricted SMAD Protein Phosphorylation (GO:0060389),14,1,349.0,349.0,0.0884888438133872,348.0,0.7681879648411135
Receptor Metabolic Process (GO:0043112),20,1,350.0,350.0,0.08874239350912756,349.0,0.7681879648411135
Positive Regulation Of Macrophage Migration (GO:1905523),18,4,1193.25,1455.0,0.08885094764776572,4763.0,0.7681879648411135
Negative Regulation Of Signal Transduction (GO:0009968),267,30,1693.7333333333333,1664.5,0.08915767922839735,50347.0,0.7681879648411135
Positive Regulation Of Protein Modification Process (GO:0031401),225,17,1601.8235294117646,1438.0,0.08931291571936717,27078.0,0.7681879648411135
Positive Regulation Of MAP Kinase Activity (GO:0043406),91,4,1195.5,1133.5,0.0895118383355998,4772.0,0.7681879648411135
Telomere Maintenance Via Telomere Lengthening (GO:0010833),26,6,1342.8333333333333,1196.5,0.08993520703565397,8036.0,0.7681879648411135
Positive Regulation Of Muscle Cell Differentiation (GO:0051149),15,3,1071.0,1378.0,0.08996763642449021,3207.0,0.7681879648411135
Regulation Of Centrosome Cycle (GO:0046605),23,2,837.5,837.5,0.09009843103988426,1672.0,0.7681879648411135
Regulation Of Centrosome Duplication (GO:0010824),31,2,837.5,837.5,0.09009843103988426,1672.0,0.7681879648411135
Positive Regulation Of T Cell Cytokine Production (GO:0002726),21,3,1071.6666666666667,906.0,0.09013587882436629,3209.0,0.7681879648411135
Sterol Homeostasis (GO:0055092),73,5,1281.6,454.0,0.0901395758440442,6393.0,0.7681879648411135
Cholesterol Homeostasis (GO:0042632),72,5,1281.6,454.0,0.0901395758440442,6393.0,0.7681879648411135
Golgi To Endosome Transport (GO:0006895),15,4,1198.25,1375.5,0.0903241552058906,4783.0,0.7681879648411135
Positive Regulation Of GTPase Activity (GO:0043547),234,17,1604.4705882352941,1471.0,0.09087395143003174,27123.0,0.7681879648411135
Glycerolipid Catabolic Process (GO:0046503),18,2,845.5,845.5,0.09182897362465847,1688.0,0.7681879648411135
Glycerophospholipid Catabolic Process (GO:0046475),27,2,845.5,845.5,0.09182897362465847,1688.0,0.7681879648411135
Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),26,1,363.0,363.0,0.09203853955375224,362.0,0.7681879648411135
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",17,1,363.0,363.0,0.09203853955375224,362.0,0.7681879648411135
Protein Kinase B Signaling (GO:0043491),24,2,847.5,847.5,0.09226418142094829,1692.0,0.7681879648411135
Regulation Of T Cell Activation (GO:0050863),62,3,1082.3333333333333,906.0,0.09285635399173975,3241.0,0.7681879648411135
Regulation Of mRNA 3'-End Processing (GO:0031440),11,1,368.0,368.0,0.09330628803245404,367.0,0.7681879648411135
Triglyceride Catabolic Process (GO:0019433),12,1,369.0,369.0,0.0935598377281944,368.0,0.7681879648411135
Acylglycerol Catabolic Process (GO:0046464),24,1,369.0,369.0,0.0935598377281944,368.0,0.7681879648411135
Regulation Of Adaptive Immune Response (GO:0002819),18,2,854.0,854.0,0.09368568017165502,1705.0,0.7681879648411135
Regulation Of B Cell Activation (GO:0050864),25,2,854.0,854.0,0.09368568017165502,1705.0,0.7681879648411135
Neural Tube Closure (GO:0001843),32,3,1086.6666666666667,1164.0,0.09397699760464243,3254.0,0.7681879648411135
Histone mRNA Metabolic Process (GO:0008334),23,3,1087.6666666666667,1511.0,0.09423688166043152,3257.0,0.7681879648411135
Negative Regulation Of mRNA Catabolic Process (GO:1902373),41,3,1089.0,1400.0,0.0945841384642722,3261.0,0.7681879648411135
Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),72,5,1295.8,1133.0,0.09487209662297323,6464.0,0.7681879648411135
Regulation Of Protein Tyrosine Kinase Activity (GO:0061097),39,3,1090.3333333333333,1020.0,0.09493224726836355,3265.0,0.7681879648411135
Negative Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033144),31,5,1296.4,1065.0,0.09507574395761939,6467.0,0.7681879648411135
Wnt Signaling Pathway (GO:0016055),76,5,1296.6,1890.0,0.09514369300356143,6468.0,0.7681879648411135
Mesoderm Development (GO:0007498),19,2,862.0,862.0,0.09545017513770007,1721.0,0.7681879648411135
Ventricular Septum Development (GO:0003281),37,3,1092.6666666666667,1079.0,0.09554349104017126,3272.0,0.7681879648411135
Regulation Of Actin Nucleation (GO:0051125),24,2,862.5,862.5,0.09556103480684955,1722.0,0.7681879648411135
Transcription Initiation At RNA Polymerase II Promoter (GO:0006367),76,5,1298.6,774.0,0.09582501631534272,6478.0,0.7681879648411135
Response To Axon Injury (GO:0048678),18,3,1094.6666666666667,1194.0,0.09606949788810551,3278.0,0.7681879648411135
miRNA-mediated Gene Silencing (GO:0035195),26,4,1217.25,936.0,0.09607422401099287,4859.0,0.7681879648411135
mRNA Processing (GO:0006397),214,19,1632.6315789473683,1787.0,0.09610466859136568,30830.0,0.7681879648411135
Negative Regulation Of Supramolecular Fiber Organization (GO:1902904),71,11,1526.1818181818182,1599.0,0.09651412787660218,16722.0,0.7681879648411135
Nuclear-Transcribed mRNA Catabolic Process (GO:0000956),85,7,1408.0,1513.0,0.09682412682042275,9828.0,0.7681879648411135
Protein K48-linked Ubiquitination (GO:0070936),70,4,1220.25,1409.0,0.09700421426076235,4871.0,0.7681879648411135
Recombinational Repair (GO:0000725),95,13,1564.3846153846155,1558.0,0.09778381098749916,20246.0,0.7681879648411135
