Pathway,N_Overlap,P_Value,Effect_Size,Median_Rank,FDR
Cellular Response To Growth Factor Stimulus (GO:0071363),146,1.479216973565138e-08,0.26509091420678155,31805.5,1.7731462030385012e-07
Potassium Ion Transport (GO:0006813),120,1.4797948091534549e-08,0.2923607165286043,34819.5,1.7731462030385012e-07
Visual System Development (GO:0150063),41,1.5426052758842046e-08,0.49931685160909145,24646.0,1.8403010308794022e-07
Protein Maturation (GO:0051604),111,1.6009109903821523e-08,0.3032127875737708,32659.0,1.9015187309342594e-07
Response To Reactive Oxygen Species (GO:0000302),61,1.6773497431533412e-08,0.40831228678529385,25123.0,1.9836483919030817e-07
Positive Regulation Of Cellular Catabolic Process (GO:0031331),139,1.7048186220781214e-08,0.27045447731228567,36039.0,2.0074054770789999e-07
Defense Response To Symbiont (GO:0140546),135,1.7667685535815813e-08,0.27411439674405513,35585.0,2.0713838214404745e-07
Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101),107,1.7761580548804977e-08,0.3078029418805791,30918.0,2.0734548966845295e-07
Regulation Of Macroautophagy (GO:0016241),92,1.8296019257822853e-08,0.3316094257420594,28898.0,2.1267167684306907e-07
Regulation Of Innate Immune Response (GO:0045088),74,1.9200631952394514e-08,0.3691429839412662,27762.5,2.2223710174686418e-07
Wound Healing (GO:0042060),77,1.9637814351733747e-08,0.36162438597671753,30213.0,2.263341315115076e-07
Positive Regulation Of Neuron Projection Development (GO:0010976),84,2.0215056164749325e-08,0.3459186690031807,30917.5,2.3200402011864206e-07
Cellular Response To Organic Cyclic Compound (GO:0071407),141,2.0685201758283314e-08,0.2668737416679253,31688.0,2.3640230580895217e-07
Antimicrobial Humoral Response (GO:0019730),94,2.1902513975088415e-08,0.32617292898125383,32418.0,2.4863282697069124e-07
Response To Lipopolysaccharide (GO:0032496),152,2.1938190615060992e-08,0.2565622187292532,36443.0,2.4863282697069124e-07
Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045),104,2.3745645166180346e-08,0.30929926421938025,29856.5,2.680006425394628e-07
Negative Regulation Of Translation (GO:0017148),99,2.402992517358195e-08,0.3168830766151821,33958.0,2.7008841517414423e-07
Negative Regulation Of Cytokine Production (GO:0001818),165,2.4873655492111e-08,0.24526149479476433,33718.0,2.7842116435613957e-07
Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903322),73,3.106143007475536e-08,0.3658832534505906,29599.0,3.4625856476776465e-07
Positive Regulation Of Cell Adhesion (GO:0045785),85,3.2404181799158994e-08,0.3386193539915966,31355.0,3.597525489539284e-07
Intrinsic Apoptotic Signaling Pathway (GO:0097193),99,3.3655888835060095e-08,0.31339164532969477,26983.0,3.7213015297302217e-07
Macromolecule Catabolic Process (GO:0009057),80,3.417172106876104e-08,0.34841690166107,31642.5,3.763039729029556e-07
Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178),126,3.452315472898274e-08,0.2775943007722175,34003.5,3.7864105186626235e-07
Protein Complex Oligomerization (GO:0051259),97,3.4849227560491164e-08,0.3162359318523207,26927.0,3.80682325158779e-07
Positive Regulation Of Synaptic Transmission (GO:0050806),76,3.664367057239388e-08,0.3566294099353964,29717.0,3.986831358276454e-07
Phosphatidylinositol Biosynthetic Process (GO:0006661),94,3.6906231656344957e-08,0.32062345304541595,28873.0,3.999400402599931e-07
Double-Strand Break Repair Via Homologous Recombination (GO:0000724),95,3.900123778236407e-08,0.3183436856477164,31674.0,4.2096574114297725e-07
Cellular Response To Insulin Stimulus (GO:0032869),92,3.948642551287684e-08,0.3233533440066553,31130.0,4.2312850243171403e-07
Mitochondrion Organization (GO:0007005),137,3.9512735153549765e-08,0.2650322026620867,32787.0,4.2312850243171403e-07
"Positive Regulation Of DNA-templated Transcription, Elongation (GO:0032786)",56,4.005791810574406e-08,0.4141805435576169,25398.0,4.272705868846362e-07
Negative Regulation Of MAPK Cascade (GO:0043409),98,4.021370229502458e-08,0.3131156806995713,30635.0,4.272705868846362e-07
Microtubule Bundle Formation (GO:0001578),39,4.09723537143424e-08,0.4958894369639604,15062.0,4.3363736226852657e-07
Response To UV (GO:0009411),90,4.675154625203749e-08,0.3250635849158974,31332.5,4.928845186261317e-07
Histone Modification (GO:0016570),76,4.802546612234639e-08,0.35339110023342046,28313.0,5.030991596968295e-07
Regulation Of Cellular Localization (GO:0060341),68,4.80903608533734e-08,0.37356888376010167,26632.0,5.030991596968295e-07
Positive Regulation Of Wnt Signaling Pathway (GO:0030177),104,5.424072155752683e-08,0.30088516777592156,32993.0,5.652672897949156e-07
Regulation Of Tumor Necrosis Factor Production (GO:0032680),121,5.515373621353487e-08,0.278812835736593,33640.0,5.725884064916596e-07
rRNA Processing (GO:0006364),92,5.560345007493809e-08,0.3196153704502076,27287.0,5.729917679137051e-07
Positive Regulation Of Autophagy (GO:0010508),102,5.574138215172999e-08,0.3035331639009319,31298.5,5.729917679137051e-07
Positive Regulation Of Hydrolase Activity (GO:0051345),168,5.5824565623945534e-08,0.23657682263283197,35571.0,5.729917679137051e-07
Skeletal System Development (GO:0001501),141,5.7378199161299756e-08,0.25795786316474867,33849.0,5.867244425516366e-07
Negative Regulation Of Cell Cycle (GO:0045786),78,6.300917420676546e-08,0.3455975100670644,28653.5,6.418912128928916e-07
Regulation Of Epithelial Cell Proliferation (GO:0050678),90,6.442470086111505e-08,0.32150526561719717,30795.5,6.538626356053468e-07
Negative Regulation Of Protein Ubiquitination (GO:0031397),46,6.645238845689272e-08,0.44912565780840397,23117.5,6.719349316087294e-07
Sensory Perception Of Sound (GO:0007605),86,6.755849205321361e-08,0.32834819550818484,32097.5,6.805892532768187e-07
Synapse Organization (GO:0050808),127,6.796922861990326e-08,0.2701960928994134,35125.0,6.822003758160032e-07
Cellular Response To Decreased Oxygen Levels (GO:0036294),68,6.942614155141477e-08,0.36887385547330354,30213.0,6.942614155141476e-07
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),64,7.070203505299909e-08,0.37997737190280256,25681.0,7.040869064487467e-07
Inorganic Cation Import Across Plasma Membrane (GO:0098659),99,7.092640160549876e-08,0.3055327538374838,32816.0,7.040869064487467e-07
protein-DNA Complex Organization (GO:0071824),56,7.232342166968289e-08,0.4058750446513071,25006.5,7.121354585905342e-07
Negative Regulation Of Developmental Process (GO:0051093),99,7.233845041175864e-08,0.30532235387823503,32849.0,7.121354585905342e-07
Alpha-Amino Acid Catabolic Process (GO:1901606),29,7.25226183932272e-08,0.5638807458672066,22757.0,7.121354585905342e-07
Response To Endoplasmic Reticulum Stress (GO:0034976),104,7.394857847147071e-08,0.29767048804404406,34355.5,7.235256598647494e-07
Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),110,7.512404280802515e-08,0.2892871220200852,30176.0,7.323921019277003e-07
Regulation Of Protein Kinase Activity (GO:0045859),110,7.827092476074288e-08,0.28887066565059527,33441.5,7.603461262472166e-07
RNA Metabolic Process (GO:0016070),105,7.980871855412218e-08,0.2954588860222158,31168.0,7.725256742605422e-07
mRNA Transport (GO:0051028),56,8.107475506628368e-08,0.4042508755925638,27682.0,7.819976375187645e-07
"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",94,8.181244847190637e-08,0.3119784246417766,31508.5,7.863245930868739e-07
RNA Export From Nucleus (GO:0006405),62,8.254893760639565e-08,0.38396014943960144,28037.0,7.906095432725217e-07
Regulation Of Protein-Containing Complex Assembly (GO:0043254),104,8.48513001597593e-08,0.29623354230412724,33875.5,8.053961077978447e-07
Sensory Perception Of Chemical Stimulus (GO:0007606),103,8.489534876279363e-08,0.29766115155961614,32174.0,8.053961077978447e-07
Response To Insulin (GO:0032868),73,8.498113343308141e-08,0.35350775232946596,28704.0,8.053961077978447e-07
Positive Regulation Of Protein Ubiquitination (GO:0031398),77,8.575041134377268e-08,0.3441004591263659,29088.0,8.08395109020714e-07
Response To Nutrient Levels (GO:0031667),34,8.589198033345086e-08,0.5176936944115216,16730.0,8.08395109020714e-07
Nucleic Acid-Templated Transcription (GO:0097659),38,8.762234014640271e-08,0.4893532699266767,21330.5,8.218371213731565e-07
Regulation Of Protein Metabolic Process (GO:0051246),87,8.807317162640398e-08,0.323430980075483,29337.0,8.23226896301783e-07
Negative Regulation Of Protein Kinase Activity (GO:0006469),80,9.166022654963871e-08,0.3367951413453969,34341.0,8.538212884075935e-07
Positive Regulation Of Supramolecular Fiber Organization (GO:1902905),90,9.325538627442575e-08,0.3173545574633798,31112.0,8.657155312847715e-07
Anterograde Trans-Synaptic Signaling (GO:0098916),198,9.447424211107603e-08,0.21397667655112362,34198.0,8.74047410007234e-07
Positive Regulation Of Protein Catabolic Process (GO:0045732),87,9.714211739958884e-08,0.3223057230726939,33712.0,8.95683251955531e-07
tRNA Modification (GO:0006400),57,1.0335583017926684e-07,0.39724870055193773,24638.0,9.497562773229926e-07
Positive Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060261),52,1.1268793838293638e-07,0.4146083731479956,27923.5,1.03202421684036e-06
Regulation Of GTPase Activity (GO:0043087),209,1.1349919158850913e-07,0.20691598275548972,37494.0,1.0359657755729692e-06
Cellular Response To Peptide Hormone Stimulus (GO:0071375),82,1.1755238774553102e-07,0.32971220460049755,31437.5,1.0693728918657004e-06
Extrinsic Apoptotic Signaling Pathway (GO:0097191),66,1.1813539500370618e-07,0.36741567572185974,27919.0,1.0710942480336027e-06
Protein O-linked Glycosylation (GO:0006493),76,1.2040288172546028e-07,0.34217291367636515,32397.0,1.0880260408413686e-06
Mitotic Sister Chromatid Segregation (GO:0000070),102,1.2189682399254033e-07,0.2952667387780348,28660.0,1.097878679667913e-06
Chloride Transport (GO:0006821),76,1.256618263484439e-07,0.34164272240370164,30458.5,1.1280533586394964e-06
Monoatomic Ion Transport (GO:0006811),106,1.3268840383455126e-07,0.2887559160311445,34729.0,1.1872120343091427e-06
Protein Processing (GO:0016485),105,1.3811089569904944e-07,0.28970218873340514,32323.0,1.2316774960702113e-06
Sodium Ion Transmembrane Transport (GO:0035725),77,1.4215984792706647e-07,0.33789448893075835,34383.0,1.2605239759405093e-06
Response To Ionizing Radiation (GO:0010212),63,1.4227237522563836e-07,0.3735195448388108,29291.0,1.2605239759405093e-06
Small GTPase Mediated Signal Transduction (GO:0007264),108,1.4714816221881007e-07,0.28499163677427186,34284.5,1.2994902637505304e-06
Negative Regulation Of Cell Motility (GO:2000146),125,1.5178527780793042e-07,0.2646246112130154,32745.0,1.336103416302818e-06
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),55,1.5869485483872737e-07,0.39814345563583475,27599.0,1.3924193714881886e-06
Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558),91,1.604016615042536e-07,0.3094613516354293,33763.0,1.4028698369503854e-06
Steroid Biosynthetic Process (GO:0006694),49,1.6323628292622466e-07,0.42136347705596167,27782.0,1.4230855434593946e-06
Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032434),98,1.818605434672962e-07,0.29682783527108414,29367.5,1.58038555345382e-06
Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412),68,1.835773601763473e-07,0.3561607667706165,26439.5,1.5902242664957472e-06
Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888),105,1.8804579278974104e-07,0.2864150069388677,33602.0,1.6230989691735182e-06
Receptor-Mediated Endocytosis (GO:0006898),116,1.8856590965398226e-07,0.27248360349485046,34092.0,1.6230989691735182e-06
Positive Regulation Of Cell Cycle G1/S Phase Transition (GO:1902808),38,1.9092182494667043e-07,0.4756715442227617,25012.5,1.6343508734837138e-06
Negative Regulation Of Defense Response (GO:0031348),102,1.9107484476758126e-07,0.29041847067226756,33243.0,1.6343508734837138e-06
Response To Lipid (GO:0033993),108,1.924766818165428e-07,0.28216722538404204,35682.0,1.6411804844545342e-06
Modulation Of Chemical Synaptic Transmission (GO:0050804),122,2.0327294907721925e-07,0.2649594760112204,32017.0,1.722588387685535e-06
Establishment Of Protein Localization To Membrane (GO:0090150),65,2.0379337425478837e-07,0.3628587807203357,24787.0,1.722588387685535e-06
"Retrograde Transport, Endosome To Golgi (GO:0042147)",80,2.0392406648336112e-07,0.32709302789043115,30520.0,1.722588387685535e-06
Regulation Of Cell Motility (GO:2000145),116,2.0621551097579148e-07,0.2715705000740726,32626.5,1.7359500360059078e-06
Regulation Of Osteoblast Differentiation (GO:0045667),77,2.0678228370070372e-07,0.33322454747325214,32355.0,1.7359500360059078e-06
Regulation Of Translational Initiation (GO:0006446),64,2.0893654464786432e-07,0.36533791457862175,28581.0,1.7486381582836644e-06
Extracellular Structure Organization (GO:0043062),107,2.2144841816519315e-07,0.2819890622627572,34941.0,1.8476677834641883e-06
Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066),86,2.3003419578149758e-07,0.31405348621686713,30707.5,1.9134342890693376e-06
Axoneme Assembly (GO:0035082),26,2.3324884898988763e-07,0.570699808402849,14468.0,1.922888287268891e-06
Regulation Of Cell Cycle G1/S Phase Transition (GO:1902806),71,2.3361072500067677e-07,0.34541156830788045,27186.0,1.922888287268891e-06
Response To Retinoic Acid (GO:0032526),58,2.3388632581126504e-07,0.38212416321452036,29959.0,1.922888287268891e-06
Positive Regulation Of Cell Growth (GO:0030307),96,2.3399853789926578e-07,0.29706887015277905,32005.5,1.922888287268891e-06
Protein Targeting To Membrane (GO:0006612),68,2.3526429003672338e-07,0.35284887002255794,27090.5,1.927466472590023e-06
rRNA Metabolic Process (GO:0016072),80,2.3674685541936442e-07,0.3252523491136642,30519.0,1.9337881283503643e-06
Positive Regulation Of DNA Metabolic Process (GO:0051054),101,2.537987738811199e-07,0.2887346042051183,31132.0,2.0668642663372638e-06
Cilium Movement (GO:0003341),37,2.564718813445543e-07,0.476701302896522,27050.0,2.082398558976679e-06
Organonitrogen Compound Catabolic Process (GO:1901565),71,2.590021949215573e-07,0.34405540510464094,33930.0,2.096684435079273e-06
Endosomal Transport (GO:0016197),155,2.7245712485121135e-07,0.2325038230898544,34491.0,2.1990604735765426e-06
Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433),140,2.735838021745727e-07,0.24458543839083635,35910.0,2.2016211299255556e-06
Amino Acid Catabolic Process (GO:0009063),37,2.761368973036947e-07,0.4753526434801335,28855.0,2.2156116833806775e-06
Positive Regulation Of Cell Cycle Process (GO:0090068),112,2.998964476028471e-07,0.2724502509700616,35877.5,2.399171580822777e-06
Positive Regulation Of DNA-templated Transcription Initiation (GO:2000144),56,3.027833641694909e-07,0.38505259247979484,29218.0,2.4151634913226255e-06
Regulation Of Vesicle-Mediated Transport (GO:0060627),80,3.0629380494488146e-07,0.3220527716053688,29667.0,2.430399038114722e-06
Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288),69,3.0693185744160076e-07,0.3467278097759665,29905.0,2.430399038114722e-06
Positive Regulation Of Proteasomal Protein Catabolic Process (GO:1901800),81,3.0737399599686187e-07,0.3200165435740123,32088.0,2.430399038114722e-06
Regulation Of Macromolecule Metabolic Process (GO:0060255),146,3.544165234549854e-07,0.23712039062219348,36505.5,2.794240416804523e-06
Chordate Embryonic Development (GO:0043009),59,3.572079602887649e-07,0.3727327650633149,24904.0,2.804077556220513e-06
Sphingolipid Metabolic Process (GO:0006665),86,3.580433044875715e-07,0.3087400433779759,31422.0,2.804077556220513e-06
Sulfur Compound Biosynthetic Process (GO:0044272),67,3.5875698145762445e-07,0.34972750078441106,30125.0,2.804077556220513e-06
Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090),105,3.6695027092999296e-07,0.27917067716134814,34085.0,2.859898959683613e-06
Protein Catabolic Process (GO:0030163),95,3.7388837925154763e-07,0.2932656630114482,31205.0,2.905646833040599e-06
Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060260),57,3.7713807470661347e-07,0.3784038198704571,28914.0,2.9225514621139273e-06
Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100),94,3.7942139624132765e-07,0.29464956475883464,32332.5,2.93189260731935e-06
Sprouting Angiogenesis (GO:0002040),47,3.945035830684393e-07,0.4159598841115395,23947.0,3.0398009800174356e-06
Regulation Of Protein Binding (GO:0043393),113,4.0647988926217776e-07,0.2680342239815564,34038.0,3.1232353073252076e-06
Negative Regulation Of Cellular Component Organization (GO:0051129),71,4.423826878517379e-07,0.33693751292803553,30555.0,3.386540161761634e-06
Glucose Homeostasis (GO:0042593),81,4.4323834470115505e-07,0.31544540940424926,28744.0,3.386540161761634e-06
